Number          RA(User)          DEC(User)         GOOD       SIG-MONO     Flux-tot       Error           Grd-axe        Pt-axe        Angle      Mass      Err-Mass     alpha_vir
135          290.9225484        14.504651           1.14        11.37       1.22e-02      9.32e-04         8.63e-01       6.39e-01     3.69e+01    6.13       0.47          0.0344
136          290.9357204        14.5049118          1.07        10.68       6.53e-03      5.17e-04         1.17e+00       6.80e-01     2.99e+01    3.28       0.26          0.0743
137          290.9325167        14.5119558          1.08        10.8        1.53e-02      1.07e-03         1.01e+00       9.41e-01     1.02e+02    7.67       0.54          0.0376
138          290.9251419        14.5143041          1.08        10.82       5.33e-03      7.57e-04         9.59e-01       6.88e-01     5.57e+01    2.68       0.38          0.0859
139          290.9423789        14.497054           1.7         16.98       5.30e-02      2.37e-03         1.72e+00       1.38e+00     1.13e+02    26.63      1.19          0.0167
140          290.9405547        14.4997463          1.12        11.17       7.59e-03      4.72e-04         1.20e+00       1.00e+00     1.30e+02    3.81       0.24          0.0836
141          290.9319425        14.5017264          1.14        11.36       6.58e-03      3.99e-04         1.44e+00       1.15e+00     1.38e+02    3.3        0.2           0.1121
142          290.9320706        14.5025238          1.07        10.66       5.68e-03      6.93e-04         1.12e+00       7.31e-01     1.14e+02    2.85       0.35          0.0883
143          290.9269579        14.5109335          1.06        10.65       3.42e-03      5.24e-04         9.65e-01       8.56e-01     1.66e+02    1.72       0.26          0.155 
144          290.9356434        14.5104917          1.06        10.6        4.30e-03      1.00e-03         7.19e-01       6.18e-01     3.88e+01    2.16       0.5           0.09  
145          290.9309414        14.5160641          1.06        10.58       1.91e-03      3.08e-04         7.31e-01       5.72e-01     1.69e+02    0.96       0.15          0.1935
146          290.9420021        14.496759           1.07        10.71       1.55e-02      1.33e-03         1.15e+00       6.99e-01     1.66e+02    7.78       0.67          0.0317
147          290.9362591        14.5097788          1.07        10.68       5.55e-03      8.61e-04         9.43e-01       8.28e-01     1.26e+02    2.79       0.43          0.0927
148          290.933467         14.5113641          1.07        10.74       7.62e-03      1.04e-03         1.15e+00       8.42e-01     1.39e+02    3.83       0.52          0.073 
149          290.9292543        14.5095141          1.06        10.58       6.69e-03      8.08e-04         8.90e-01       6.76e-01     1.67e+02    3.36       0.41          0.0659
